Achieved_Revenue,Optimal_Revenue,Difference,Run_Number
33468.0,33468.0,0.0,837
76890.0,87288.0,11.9,838
78312.0,103752.0,24.5,839
75264.0,120000.0,37.3,840
78888.0,112314.0,29.8,841
71502.0,74988.0,4.6,842
76992.0,113484.0,32.2,843
78030.0,103368.0,24.5,844
91764.0,111744.0,17.9,845
77640.0,98640.0,21.3,846
74496.0,103800.0,28.2,847
79788.0,99564.0,19.9,848
76536.0,105930.0,27.7,849
75156.0,91872.0,18.2,850
75372.0,103932.0,27.5,851
84408.0,110376.0,23.5,852
77856.0,114984.0,32.3,853
79086.0,105294.0,24.9,854
91518.0,120000.0,23.7,855
76980.0,102192.0,24.7,856
47712.0,53040.0,10.0,857
82740.0,106398.0,22.2,858
91986.0,95832.0,4.0,859
77808.0,82380.0,5.5,860
76236.0,94860.0,19.6,861
80988.0,117240.0,30.9,862
77850.0,109482.0,28.9,863
74016.0,100560.0,26.4,864
77400.0,104952.0,26.3,865
75852.0,80760.0,6.1,866
73704.0,100026.0,26.3,867
73884.0,77088.0,4.2,868
77112.0,105198.0,26.7,869
80892.0,92652.0,12.7,870
83358.0,109308.0,23.7,871
84420.0,105060.0,19.6,872
87450.0,120000.0,27.1,873
77712.0,85884.0,9.5,874
82458.0,100272.0,17.8,875
73896.0,98688.0,25.1,876
79752.0,98634.0,19.1,877
79476.0,98844.0,19.6,878
76152.0,108576.0,29.9,879
79584.0,102348.0,22.2,880
77364.0,98244.0,21.3,881
77850.0,88908.0,12.4,882
74520.0,106530.0,30.0,883
82014.0,120000.0,31.7,884
76944.0,109938.0,30.0,885
79572.0,102906.0,22.7,886
79104.0,99666.0,20.6,887
79464.0,100974.0,21.3,888
65604.0,73980.0,11.3,889
80400.0,120000.0,33.0,890
76536.0,86088.0,11.1,891
73896.0,96948.0,23.8,892
78936.0,81264.0,2.9,893
78576.0,97626.0,19.5,894
81336.0,100140.0,18.8,895
78456.0,119250.0,34.2,896
76632.0,118770.0,35.5,897
78810.0,108822.0,27.6,898
71892.0,72828.0,1.3,899
74952.0,116874.0,35.9,900
78126.0,97434.0,19.8,901
75324.0,92082.0,18.2,902
77676.0,97080.0,20.0,903
76164.0,114894.0,33.7,904
80280.0,106788.0,24.8,905
82692.0,107130.0,22.8,906
74424.0,107028.0,30.5,907
74088.0,95556.0,22.5,908
78486.0,119202.0,34.2,909
